dataset,type,total,corrected_past,corrected_future,non_past,non_future
IMSDb,Scripted,3080674,657475,316525,2423199,2764149
Movies,Scripted,516163,127744,85937,388419,430226
Switchboard,Spontaneous,245461,41488,22079,203973,223382
SCOTUS,Constrained,3880259,1963578,1207377,1916681,2672882
Tennis,Constrained,599172,281669,134638,317503,464534
PfG,Constrained,37184,7408,9771,29776,27413
IQ2,Constrained,122925,46630,34811,76295,88114
GAP,Constrained,8009,1800,1338,6209,6671
Chair,Scripted,2900,660,460,2240,2440
Friends,Scripted,107082,22067,16356,85015,90726
Gutenberg,Scripted,29119393,10234952,8672030,18884441,20447363
Reddit,Constrained,217924,86513,66700,131411,151224